ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system,refund_amount_normalized,canonical
TK-240003,2025-01-01 19:04,2025-01-01 21:26,2025-01-04 02:53,resolved,email,C102158,VR886967,VA-HP-ST2,Warranty & Repair,High,Escalations & Warranty,A3040,0,4.0,900.0,GW-OTHER,N,"Dear Sir/Madam,

I am writing with reference to my order of Strata 2 (VR886967) placed on October 21. What is the status of my warranty claim. I HAVE CALLED SERVICE CENTRE. I request you to look into this matter at the earliest.

Regards,
Aishwarya Bhatia
Bengaluru",cx ok,helpdesk,900.0,True
TK-240009,2025-01-01 20:48,2025-01-01 20:56,2025-01-01 21:10,resolved,chat,C100956,,VA-EB-PL1,Other,Normal,Chat Frontline,A3009,0,5.0,2124.0,CANCEL,N,"product: pulse 1
order: vr896352
purchased: 28/12
issue: please cancel, ordered by mistake
tried: tried cancel button, greyed out
expected: replacement","1. Order cancellation
2. Cancelled before dispatch
3. Full refund processed (2124) (SOP 4.2) //SUK",helpdesk,2124.0,True
TK-240015,2025-01-02 12:35,2025-01-02 13:33,2025-01-04 13:49,resolved,email,C104773,VR895522,VA-EB-AIR,Returns & Refunds,Low,Returns Desk,A3037,0,3.0,170900.0,GW-OTHER,N,"dear sir/madam,
bought airlite around 20 dec from vireo.in.  where is the money for the return.
please resolve asap",issue: rfnd not credited | chk reverse pkp qc status -> full rfnd processed (1709) ~Manish,legacy_fd,1709.0,True
TK-240016,2025-01-02 13:41,2025-01-02 14:10,2025-01-02 14:45,resolved,email,C103696,VR897275,VA-EB-AIR,Connectivity,Normal,Email Frontline,A3018,0,,34200.0,WTY-BUYBACK,N,"to the vireo customer care team,

i am writinng wtih reference to my odrer of ailite (vr897275) placed on november 28. the sound stutters whenever my phone is in my pocket. i have kept phone in hand. i request you to look into this matter at the earliest.

sincerely,
payal jadhav",re: bt dropouts | checked interference sources -> replacement raised,legacy_fd,342.0,True
TK-240023,2025-01-02 21:37,2025-01-02 23:39,2025-01-04 02:47,resolved,voice,C106269,VR892299,VA-EB-AIR,Warranty & Repair,Low,Escalations & Warranty,A3039,0,,28800.0,GW-OTHER,N,[IVR transcript] I am losing patience. Bought airlite earbuds around 29 Nov from vireo.in. what is the status of my warranty claim. I already emailed twice. This is the last time I buy from you.,re: warranty claim status | checked rma status -> refunded rs 288 ~Reyansh,legacy_fd,288.0,True
TK-240026,2025-01-03 10:39,2025-01-03 10:47,2025-01-03 10:58,closed,chat,C103080,VR904622,VA-SW-NX1,Billing & Payments,High,Billing,A3032,0,,399900.0,GW-OTHER,N,"i bought the nexa smartwatch on december 21. ordered the wrong colour, don't ship it.
i tried cancel button, greyed out.
waiting for your reply.","1. cancellation request
2. cancelled before dispatch
3. rfnd of rs 3999 initiated to source ~Sneha",legacy_fd,3999.0,True
TK-240028,2025-01-03 11:42,2025-01-03 12:53,2025-01-03 13:19,closed,voice,C100455,VR888855,VA-EB-PL1,Returns & Refunds,High,Returns Desk,A3037,0,4.0,249900.0,GW-OTHER,N,Not acceptable at this price. Odrer VR888855 (pulse 1). nobody came for the pickup. I already called courier. This is the last time I buy from you.,"cx ok. | issued refund + replacement both, tl aware. ~Manish",legacy_fd,2499.0,True
TK-240031,2025-01-03 11:55,2025-01-03 13:46,2025-01-03 14:08,resolved,email,C100322,,VA-HP-ST3,Billing & Payments,High,Billing,A3033,0,4.0,699900.0,DUP-PAYMENT,N,"i have been a loyal customer and this is how you treat me. bought strata 3 around 23-12-2024 from vireo.in. paid once, statement disagrees. i already checked with bank. escalate this to someone senior.","1. duplicate payment
2. checked pg for duplicate txn
3. refunded rs 6999",legacy_fd,6999.0,True
TK-240046,2025-01-04 12:58,2025-01-04 21:27,2025-01-04 21:48,resolved,email,C106933,,VA-EB-PL1,Charging & Battery,Low,Email Frontline,A3018,0,3.0,20000.0,GW-OTHER,N,"I am losing patience.  Got the Pulse buds from Amazon last month. the charging case is not charging. I already charged for 6 hours nothing. I want a replacement or refund, nothing else.",re: case no led / no charge | checked for lint in port -> full refund processed (200) ~Krishna,legacy_fd,200.0,True
TK-240050,2025-01-04 23:36,2025-01-04 23:59,2025-01-06 00:23,resolved,chat,C102579,VR890106,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3031,1,3.0,179900.0,DOA-REPL,Y,"product: airlite earbuds
order: vr890106
purchased: december 27
issue: still waiting for my refund
tried: checked bank
expected: callback",issue: refund pending | checked reverse pickup qc status -> arn shared with cx | xfer logistics. | Full refund issued and replacement dispatched as goodwill.,legacy_fd,1799.0,True
TK-240060,2025-01-05 21:07,2025-01-05 22:44,2025-01-05 23:12,resolved,email,C101467,VR902363,VA-SP-ORB,Billing & Payments,High,Billing,A3020,1,4.0,539900.0,DUP-PAYMENT,N,This is v disappointing. This is regarding Orbit speaker. my bank says Rs 3499 went to you but ur site says I have no orders. I already tried logging out and in. Escalate this to someone senior.,ticket raised for amount deducted without ord. chk pg dashboard for txn. xfer to email frontline. refunded rs 5399.,legacy_fd,5399.0,True
