ticket_id,recorded_reason_code,refund_amount_inr,ai_reason_code,ai_confidence,ai_evidence,needs_review,ai_matches_recorded,model,error
TK-240003,GW-OTHER,900.0,GW-OTHER,0.65,"Customer inquires about warranty claim status without specifying defects, lost shipments, or payment issues. Agent notes only indicate 'cx ok' with no operational details.",True,True,qwen3:8b,
TK-240009,CANCEL,2124.0,CANCEL,1.0,Agent notes explicitly state 'cancelled before dispatch' which directly supports the CANCEL reason code.,False,True,qwen3:8b,
TK-240015,GW-OTHER,1709.0,GW-OTHER,0.65,Customer inquires about refund status without specifying operational issues; agent notes mention refund processing but no explicit reason code alignment.,True,True,qwen3:8b,
TK-240016,WTY-BUYBACK,342.0,GW-OTHER,0.65,"Agent notes mention checking interference sources and raising a replacement, but customer's issue relates to environmental interference (phone in pocket) rather than hardware defect. No explicit warranty/RMA reference in customer message.",True,False,qwen3:8b,
TK-240023,GW-OTHER,288.0,GW-OTHER,0.75,"Agent notes mention a refund after checking RMA status, but customer message lacks explicit details about product defect, warranty issue, or operational problem. Refund appears tied to unresolved warranty claim without clear operational evidence.",True,True,qwen3:8b,
TK-240026,GW-OTHER,3999.0,CANCEL,0.95,Agent notes explicitly state 'cancelled before dispatch' which directly supports the CANCEL reason code.,True,False,qwen3:8b,
TK-240028,GW-OTHER,2499.0,PRICE-ADJ,0.95,Customer explicitly stated 'Not acceptable at this price' indicating a price-related refund request.,False,False,qwen3:8b,
TK-240031,DUP-PAYMENT,6999.0,DUP-PAYMENT,0.95,"Customer confirmed duplicate payment via bank statement verification, agent notes explicitly state 'duplicate payment confirmed' and 'refunded rs 6999'",False,True,qwen3:8b,
TK-240046,GW-OTHER,200.0,DOA-REPL,0.95,"Customer reported charging case not charging after 6 hours, agent noted 'case no led / no charge' and processed refund after checking for lint, indicating early hardware failure",True,False,qwen3:8b,
TK-240050,DOA-REPL,1799.0,GW-OTHER,0.95,"Agent notes explicitly state 'Full refund issued and replacement dispatched as goodwill', indicating a goodwill refund despite no operational defect or return process mentioned in customer message.",True,False,qwen3:8b,
